,station_empty_slots,station_free_bikes,station_normal_bikes,station_ebikes,station_slots,Bar_FS,EV_Charging_Station_FS,Fuel_Station_FS,Park_FS,Parking_FS,Restaurant_FS,Transport_Hub_FS,Bar_yelp,EV_Charging_Station_yelp,Fuel_Station_yelp,Park_yelp,Parking_yelp,Restaurant_yelp,Transport_Hub_yelp
126,12,6,5,1,18,8.0,0.0,6.0,13.0,1.0,37.0,6.0,13.0,0.0,3.0,6.0,0.0,50.0,2.0
127,8,6,5,1,14,29.0,0.0,3.0,9.0,2.0,50.0,8.0,28.0,0.0,3.0,10.0,0.0,50.0,4.0
128,10,2,2,0,12,13.0,0.0,6.0,12.0,0.0,50.0,5.0,14.0,0.0,4.0,7.0,0.0,50.0,3.0
129,11,4,3,1,14,14.0,0.0,6.0,12.0,0.0,50.0,5.0,16.0,0.0,4.0,6.0,0.0,50.0,3.0
130,7,5,0,5,12,16.0,0.0,3.0,11.0,0.0,50.0,8.0,16.0,0.0,2.0,6.0,0.0,50.0,6.0
131,5,9,6,3,14,16.0,0.0,4.0,11.0,0.0,50.0,8.0,17.0,0.0,5.0,5.0,0.0,50.0,6.0
132,10,6,5,1,16,27.0,0.0,2.0,11.0,1.0,49.0,4.0,28.0,0.0,4.0,9.0,1.0,50.0,9.0
133,9,5,1,4,14,30.0,0.0,2.0,13.0,1.0,50.0,5.0,27.0,0.0,4.0,13.0,1.0,50.0,2.0
134,9,5,5,0,14,30.0,0.0,2.0,14.0,1.0,50.0,6.0,30.0,0.0,2.0,13.0,1.0,50.0,1.0
135,5,11,8,3,16,29.0,0.0,2.0,15.0,2.0,50.0,5.0,29.0,0.0,2.0,9.0,0.0,50.0,42.0
136,10,4,0,4,14,24.0,0.0,6.0,11.0,2.0,50.0,7.0,25.0,0.0,6.0,8.0,0.0,50.0,4.0
137,10,6,6,0,16,22.0,0.0,7.0,10.0,2.0,44.0,7.0,23.0,0.0,6.0,7.0,0.0,50.0,6.0
138,9,3,3,0,12,11.0,0.0,5.0,13.0,2.0,27.0,5.0,8.0,0.0,3.0,9.0,0.0,50.0,4.0
139,15,5,4,1,20,9.0,0.0,6.0,12.0,2.0,25.0,6.0,7.0,0.0,3.0,9.0,0.0,50.0,7.0
